Gāyatrī-mudrās,Gayatri-mudras,,,
Gāyatrī-yajña,Gayatri-yajna,,,
ghāṭ,ghat,(Hindi) added 09.10.23,,
ghī ,ghee,,,
ghṛta,ghrita,,,
Giridhāra Gopāla,Giridhara Gopala,added 14.09.23,,
Giridhārī(jī),Giridhari(ji),,,
Girirāja,Giriraja ,,,
Gītā,Gita,,,
Gītā-bhāṣya,Gita-bhashya,,,
Gītā-govinda,Gita-govinda,,,
Godāgraja,Godagraja,,,
Godāvarī,Godavari ,,,
Gokula,Gokul,added -a 07.09.23,,
Goloka,Goloka,,,
Gomatī-śilā,Gomati-shila,added 06.08.23,,
Goṇāī,Gonai,added 22.05.24,mother of Nāmdev,
Gopāla,Gopala,,,
"Gopāla Bhaṭṭa Gosvāmī, Śrī","Gopala Bhatta Goswami, Sri",,,
Gopāla-tāpanī Upaniṣad,Gopala-tapani Upanishad,added 10.02.24,,
gopas,gopas,,,
Gopī Gītā,Gopi Gita,,,
Gopīnātha,Gopinatha,,,
gopīs,gopis,,,
Gopīśvara,Gopishwara,,,
goptṛtva-varaṇam,goptritva-varanam,added 11.04.24,,
Gorā Kumbhāra,Gora Kumbhar,,,
Gorakhnāth,Gorakhnath,,,
Gorākumbhāra,Gorakumbhar,added 17.08.24,,
"Goṣṭhipūrṇa, Śrī","Goshthipurna, Sri",,,
Goṣtipūrṇa,Goshtipurna,,,
Gosvāmī,Goswami,,,
Gosvāmī Tulsīdās,Goswami Tulsidas,,,
gotra,gotra,,,
Govardhana,Govardhana,as mountain 10.08.23,,
Govardhana Pūjā,Govardhana Puja,as event name,,
Govardhana-līlā,Govardhana-lila,,,
Govardhana-pūjā,Govardhana-puja,,,
Govardhana-śilā,Govardhana-shila,added 05.08.23,,
Govatsa Dvādaśī,Govatsa Dvadashi,,,
Govinda,Govinda,,,
Govinda-Devajī,Govinda-Devaji,,,
gṛhastha,grihastha ,,,
Gujarāt,Gujarat,added 16.05.24,,
guṇa-kīrtana,guna-kirtan,added 04.06.23,,
guṇa(s),guna(s),,,
guṇātīta,gunatita,added 10.04.24,,
